this_week	last_week	end_2013	country	flag_url	name	player_url	avg_points	total_points	event_played_divisor	points_lost	points_gained	events_played_actual
88	86	103	USA	http://www.owgr.com/styles/img/flags/USA.png	Chesson Hadley	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14967	1.6621	86.43	52	-34.85	60.92	52
89	87	98	RSA	http://www.owgr.com/styles/img/flags/RSA.png	George Coetzee	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10884	1.6444	85.51	52	-68.10	75.51	52
90	88	43	ITA	http://www.owgr.com/styles/img/flags/ITA.png	Matteo Manassero	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11460	1.6413	85.35	52	-91.18	45.21	57
91	99	62	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Kim Hyung-sung	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11131	1.6100	83.72	52	-59.99	38.06	55
92	101	285	ITA	http://www.owgr.com/styles/img/flags/ITA.png	Edoardo Molinari	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7033	1.6005	72.02	45	-19.51	66.55	45
93	92	176	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Noh Seung-yul	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11117	1.5783	82.07	52	-43.77	74.81	60
94	90	116	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Danny Willett	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12920	1.5759	77.22	49	-48.92	58.34	49
95	93	514	PAR	http://www.owgr.com/styles/img/flags/PAR.png	Fabrizio Zanotti	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9842	1.5749	78.74	50	-13.53	77.47	50
96	95	58	ZIM	http://www.owgr.com/styles/img/flags/ZIM.png	Brendon de Jonge	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8767	1.5500	80.60	52	-70.32	46.96	69
97	94	78	USA	http://www.owgr.com/styles/img/flags/USA.png	Charles Howell-III	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6892	1.5479	80.49	52	-61.04	57.70	59
98	96	136	USA	http://www.owgr.com/styles/img/flags/USA.png	Daniel Summerhays	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12424	1.5414	80.15	52	-43.00	57.52	57
99	97	171	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Simon Dyson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6436	1.5355	79.85	52	-35.61	62.37	60
100	98	175	USA	http://www.owgr.com/styles/img/flags/USA.png	Morgan Hoffmann	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14082	1.5336	79.75	52	-31.03	68.70	61
101	100	245	SCO	http://www.owgr.com/styles/img/flags/SCO.png	Russell Knox	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13831	1.5156	78.81	52	-30.48	72.89	58
102	103	236	USA	http://www.owgr.com/styles/img/flags/USA.png	Ben Crane	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6674	1.4695	70.54	48	-28.92	63.32	48
